"REINA BEATRIX INTL","TNCA","12.501389:-70.015221"
"AURUKUN","YAUR","-13.353889:141.720833"
"MORNINGTON ISLAND","YMTI","-16.662500:139.178056"
"KALKGURUNG","YKKG","-17.431944:130.808056"
"FITZROY CROSSING","YFTZ","-18.181944:125.558611"
"HALLS CREEK","YHLC","-18.233889:127.669722"
"TELFER","YTEF","-21.715000:122.228611"
"WILUNA","YWLU","-26.629167:120.220556"
"LEINSTER","YLST","-27.843333:120.703333"
"MOUNT MAGNET","YMOG","-28.116111:117.841667"
"LEONORA","YLEO","-28.878056:121.314722"
"GOODOOGA","YGDA","-29.073333:147.376111"
"TIBOOBURRA","YTIB","-29.451111:142.057778"
"LIGHTNING RIDGE","YLRD","-29.456667:147.984444"
"MUNGINDI","YMGI","-28.966667:149.058333"
"QUIRINDI","YQDI","-31.490556:150.513889"
"TUMUT","YTMU","-35.262778:148.240833"
"KERANG","YKER","-35.751389:143.939444"
"WAIKERIE","YWKI","-34.183889:140.030556"
"CEDUNA","YCDU","-32.130556:133.709722"
"BUSSELTON","YBLN","-33.692500:115.395278"
"BUNBURY","YBUN","-33.378333:115.676667"
"KING ISLAND","YKII","-39.877500:143.878333"
"NHILL","YNHL","-36.309722:141.640833"
"MILLICENT","YMCT","-37.583611:140.366111"
"SAINT ARNAUD","YSTA","-36.636667:143.185833"
"MARYBOROUGH","YMBU","-37.033056:143.708889"
"BENALLA","YBLA","-36.551944:146.006667"
"MERIMBULA","YMER","-36.908611:149.901389"
"MOUNT KEITH","YMNE","-27.286389:120.554722"
"MCARTHUR RIVER MINE","YMHU","-16.442500:136.083611"
"GRAZ","LOWG","46.991067:15.439628"
"SCHWECHAT","LOWW","48.110278:16.569722"
"WIENER NEUSTADT EAST","LOAN","47.843333:16.260139"
"INNSBRUCK","LOWI","47.260219:11.343964"
"SALZBURG","LOWS","47.793304:13.004333"
"ZELTWEG","LOXZ","47.202751:14.744223"
"KLAGENFURT","LOXK","46.642514:14.337739"
"LINZ","LOWL","48.233219:14.187511"
"WELS","LOLW","48.183304:14.040861"
"WALLBLAKE","TQPF","18.204834:-63.055084"
"MCMURDO STATION PEGASUS FIELD","NZPG","-77.963441:166.524609"
"MCMURDO STATION ICE RUNWAY","NZIR","-77.853950:166.468761"
"MCMURDO STATION","NZWD","-77.867358:167.056572"
"PETREL","SA","-63.478972:-56.231278"
"TENIENTE RODOLFO MARSH MARTIN","SCRM","-62.190833:-58.986667"
"BASE MARAMBIO","SAWB","-64.238335:-56.630833"
"PALMER STATION","NZ","-64.775002:-64.054443"
"SOUTH POLE STATION","NZSP","-89.999997:0.000000"
"SHAIKH ISA","OBBS","25.918362:50.590557"
"BAHRAIN INTL","OBBI","26.270834:50.633610"
"GRANTLEY ADAMS INTL","TBPB","13.074603:-59.492456"
"JWANENG","FBJW","-24.602333:24.690971"
"FRANCISTOWN","FBFT","-21.159597:27.474525"
"SIR SERETSE KHAMA INTL","FBSK","-24.555225:25.918208"
"MAUN","FBMN","-19.972564:23.431086"
"KASANE","FBKE","-17.832875:25.162400"
"THEBEPHATSHWA","FBTP","-24.221122:25.347272"
"SELEBI PHIKWE","FBSP","-22.058350:27.828767"
"SUA PAN","FBSN","-20.553361:26.115778"
"BERMUDA INTL","TXKF","32.364042:-64.678703"
"BERTRIX","EBBX","49.891667:5.223889"
"WEVELGEM","EBKT","50.817222:3.204722"
"URSEL","EBUL","51.144167:3.475556"
"ZOERSEL","EBZR","51.264722:4.753333"
"SINT TRUIDEN","EBST","50.791944:5.201667"
"WEELDE","EBWE","51.394783:4.960194"
"ZUTENDAAL","EBSL","50.947500:5.590556"
"LIEGE","EBLG","50.637417:5.443222"
"BEAUVECHAIN","EBBE","50.758610:4.768333"
"OOSTENDE","EBOS","51.198889:2.862222"
"CHIEVRES AB","EBCV","50.575833:3.831000"
"KOKSIJDE","EBFN","51.090278:2.652778"
"KLEINE BROGEL","EBBL","51.168333:5.470000"
"BRUSSELS SOUTH","EBCI","50.459197:4.453817"
"BRUSSELS NATL","EBBR","50.901389:4.484444"
"DEURNE","EBAW","51.189444:4.460278"
"FLORENNES","EBFS","50.243333:4.645833"
"SAINT HUBERT MIL","EBSU","50.035833:5.404167"
"STANIEL CAY","MYES","24.169083:-76.439056"
"RUM CAY","MYRP","23.684378:-74.836186"
"SOUTH BIMINI","MYBS","25.699881:-79.264656"
"DEADMANS CAY","MYLD","23.179014:-75.093597"
"MARSH HARBOUR","MYAM","26.511406:-77.083472"
"MATTHEW TOWN","MYIG","20.975000:-73.666862"
"SPRING POINT","MYAP","22.441828:-73.970858"
"TREASURE CAY","MYAT","26.745336:-77.391269"
"CHUB CAY","MYBC","25.417108:-77.880850"
"STELLA MARIS","MYLS","23.581444:-75.270475"
"ARTHURS TOWN","MYCA","24.629417:-75.673775"
"SAN SALVADOR","MYSM","24.063275:-74.523967"
"CLARENCE A BAIN","MYAB","24.287664:-77.684614"
"ANDROS TOWN","MYAF","24.697894:-77.795639"
"GRAND BAHAMA INTL","MYGF","26.558686:-78.695553"
"ROCK SOUND","MYER","24.891700:-76.177739"
"GREAT HARBOUR CAY","MYBG","25.738331:-77.840114"
"CONGO TOWN","MYAK","24.158717:-77.589814"
"NORTH ELEUTHERA","MYEH","25.474861:-76.683489"
"COLONEL HILL","MYCI","22.745561:-74.182353"
"GOVERNORS HARBOUR","MYEM","25.284706:-76.331011"
"EXUMA INTL","MYEF","23.562631:-75.877958"
"LYNDEN PINDLING INTL","MYNN","25.038958:-77.466231"
"SPANISH CAY","MYAX","26.950286:-77.543797"
"NEW BIGHT","MYCB","24.315292:-75.452331"
"SAN ANDROS","MYAN","25.053814:-78.048997"
"NORMANS CAY","MYEN","24.594258:-76.820214"
"SANDY POINT","MYAS","26.004639:-77.395483"
"MAYAGUANA","MYMM","22.379528:-73.013500"
"GEORGE TOWN","MYEG","23.466667:-75.781670"
"DUNCAN TOWN","MYRD","22.181803:-75.729456"
"OSMANY INTL","VGSY","24.963242:91.866783"
"JESSORE","VGJR","23.183800:89.160833"
"ISHURDI","VGIS","24.152500:89.049446"
"SHAH AMANAT INTL","VGEG","22.249611:91.813286"
"SAIDPUR","VGSD","25.759228:88.908869"
"COXS BAZAR","VGCB","21.452194:91.963889"
"TEJGAON","VGTJ","23.778783:90.382689"
"ZIA INTL","VGZR","23.843333:90.397781"
"SHAH MOKHDUM","VGRJ","24.437219:88.616511"
"BARISAL","VGBR","22.801031:90.301164"
"PHILIP S W GOLDSON INTL","MZBZ","17.539144:-88.308203"
"SAN PEDRO","MZ","17.913936:-87.971075"
"BANJA LUKA","LQBK","44.941444:17.297501"
"SARAJEVO","LQSA","43.824583:18.331467"
"TUZLA","LQTZ","44.458656:18.724783"
"MOSTAR","LQMO","43.282900:17.845878"
"JORGE WILSTERMAN","SLCB","-17.421058:-66.177114"
"TTE DE AV SALVADOR OGAYA G","SLPS","-18.975281:-57.820586"
"JUANA AZURDUY DE PADILLA","SLSU","-19.007083:-65.288747"
"EL TROMPILLO","SLET","-17.811581:-63.171481"
"CAPITAN NICOLAS ROJAS","SLPO","-19.543069:-65.723706"
"TTE AV JORGE HENRICH ARAUZ","SLTR","-14.818739:-64.918019"
"VIRU VIRU INTL","SLVR","-17.644756:-63.135364"
"CAPITAN ORIEL LEA PLAZA","SLTJ","-21.555736:-64.701325"
"EL ALTO INTL","SLLP","-16.513339:-68.192256"
"HEROES DEL ACRE","SLCO","-11.040436:-68.782972"
"SANTA ANA DEL YACUMA","SLSA","-13.762208:-65.435158"
"JUAN MENDOZA","SLOR","-17.962589:-67.076236"
"CHIMORE","SLCH","-16.990019:-65.141533"
"YACUIBA","SLYA","-21.960925:-63.651669"
"BERMEJO","SLBJ","-22.773336:-64.312881"
"TCNL RAFAEL PABON","SLVM","-21.255231:-63.405611"
"ANN","VYAN","19.769156:94.026133"
"TOUNGKOMEI","VY","11.149414:98.735914"
"NEW MAGWAY","VY","20.153572:94.968661"
"HOMMALINN","VYHL","24.899597:94.914033"
"NAYPYIDAW","VYEL","19.623500:96.201028"
"KAWTHOUNG","VYKT","10.049258:98.538006"
"THANDWE","VYTD","18.460731:94.300119"
"SITTWE","VYSW","20.132708:92.872628"
"PYAY","VYPY","18.824478:95.266003"
"LANYWA","VYLY","20.940361:94.822617"
"KYAUKPYU","VYKP","19.426447:93.534836"
"KENGTUNG","VYKG","21.301611:99.635997"
"DAWEI","VYDW","14.103886:98.203636"
"MAWLAMYINE","VYMM","16.444747:97.660669"
"MYEIK","VYME","12.439797:98.621478"
"MOMEIK","VYMO","23.092525:96.645272"
"YANGON INTL","VYYY","16.907305:96.133222"
"BAGAN","VYBG","21.178756:94.930169"
"BANMAW","VYBM","24.269033:97.246153"
"NAMPONG","VYNP","25.354375:97.295150"
"TACHILEIK","VYTL","20.483831:99.935353"
"LASHIO","VYLS","22.977881:97.752183"
"COCO ISLAND","VYCI","14.141517:93.368531"
"TAUNGOO","VYTO","19.031275:96.401239"
"MYITKYINA","VYMK","25.383636:97.351919"
"SHANTE","VYST","20.941668:95.914497"
"LOIKAW","VYLK","19.691494:97.214825"
"KALAY","VYKL","23.188811:94.051094"
"HEHO","VYHH","20.747036:96.792044"
"PUTAO","VYPT","27.329922:97.426269"
"ANISAKAN","VYAS","21.955433:96.406050"
"CHANMYATHAZI","VYCZ","21.940539:96.089586"
"NAMSANG","VYNS","20.890492:97.735922"
"MONG HSAT","VYMS","20.516758:99.256825"
"PATHEIN","VYPN","16.815233:94.779911"
"HPA AN","VYPA","16.893714:97.674581"
"MANDALAY INTL","VYMD","21.702156:95.977928"
"CADJEHOUN","DBBB","6.357228:2.384353"
"VITEBSK","UMII","55.126500:30.349639"
"MOGILEV","UMOO","53.954861:30.095089"
"MINSK 2","UMMS","53.882469:28.030731"
"GRODNO","UMMG","53.601967:24.053758"
"MINSK 1","UMMM","53.864472:27.539683"
"GOMEL","UMGG","52.527022:31.016692"
"BREST","UMBB","52.108334:23.898056"
"HONIARA INTL","AGGH","-9.428000:160.054789"
"MUNDA","AGGM","-8.327969:157.263092"
"SAO JOAQUIM","SB","1.700244:-69.389917"
"MAJOR BRIGADEIRO DOORGAL BORGES","SBBQ","-21.267167:-43.761056"
"CAMOCIM","SB","-2.896183:-40.857994"
"SINOP","SB","-11.884983:-55.586636"
"FAZENDA AGROCENTRO","SB","-15.696667:-52.263889"
"ADUSTINA","SB","-10.580919:-38.088767"
"FONTE BOA","SB","-2.532614:-66.083228"
"HUMAITA","SB","-7.532119:-63.072094"
"NOVO ARIPUANA","SB","-5.118033:-60.364878"
"JACAREACANGA","SBEK","-6.233156:-57.776869"
"FAZENDA ROSA DE MAIO","SB","-4.315214:-56.107494"
"ARAGUATINS","SB","-5.684444:-48.115556"
"OURILANDIA DO NORTE","SB","-6.763097:-51.049947"
"UBA","SB","-21.120978:-42.881919"
"DIVISA","SB","-15.550556:-41.017222"
"FURNAS","SBFU","-20.702817:-46.335264"
"CAMPOS SALES","SB","-7.053019:-40.358458"
"TAMBORIL","SB","-4.857831:-40.374608"
"SPESSATO AVIACAO AGRICOLA","SB","-22.215878:-54.741942"
"FAZENDA CEDRO","SB","-16.204264:-55.398703"
"SAO MIGUEL DO ARAGUAIA","SB","-13.331275:-50.197617"
"PATOS DE MINAS 2","SB","-18.672750:-46.491192"
"JOAO PINHEIRO","SB","-17.787500:-46.120000"
"ARACATI","SB","-4.567139:-37.800033"
"JOAO PESSOA AEROCLUBE","SB","-7.091992:-34.841592"
"QUIXADA","SB","-4.979075:-38.987633"
"MONTEIRO","SB","-7.878244:-37.139961"
"UBERABA","SBUR","-19.765000:-47.964778"
"ALAGOINHAS","SB","-12.175053:-38.380186"
"CACERES","SB","-16.043556:-57.629928"
"MOCAMBINHO","SB","-15.093022:-43.979069"
"CATOLE DA ROCHA","SB","-6.362533:-37.756175"
"CONCEICAO","SB","-7.558225:-38.496544"
"CHAPADA DIAMANTINA","SBLE","-12.482289:-41.276969"
"CABO FRIO","SBCB","-22.921681:-42.074269"
"FAZENDA RIBEIRAO","SB","-18.764044:-52.917553"
"HYRAN GARCETE","SB","-22.359364:-55.763886"
"BARRA","SB","-11.080767:-43.147494"
"ABAETE","SB","-19.155611:-45.494778"
"EUCLIDES DA CUNHA","SB","-10.527311:-39.032664"
"CAMPO ALEGRE DE LOURDES","SB","-9.513906:-42.995089"
"GURGUEIA","SB","-9.057250:-44.371053"
"XIQUE XIQUE","SB","-10.834056:-42.683369"
"JUAZEIRO","SB","-9.155539:-40.091356"
"CASA NOVA","SB","-9.157089:-40.937697"
"JMF","SB","-10.495547:-40.487400"
"DIANOPOLIS","SB","-11.595411:-46.846750"
"SALINOPOLIS","SB","-0.695664:-47.334733"
"COLATINA","SB","-19.486992:-40.579417"
"DOMINGOS REGO","SB","-5.079792:-42.873661"
"ARARIPINA","SB","-7.586756:-40.535533"
"FAZENDA LAGOA DAS ANTAS","SB","-6.564786:-49.725125"
"BACABAL","SB","-4.227714:-44.820025"
"SAO FELIX DO ARAGUAIA","SB","-11.632408:-50.689575"
"CATALAO","SB","-18.216833:-47.899664"
"PRESIDENTE MEDICI","SBRB","-9.869158:-67.894072"
"TORRES","SBTR","-29.414939:-49.809978"
"COXIM","SB","-18.477728:-54.714658"
"WILMA REBELO","SB","-2.636594:-51.827036"
"TRANQUILO TESTOLIN","SB","-18.758197:-45.107561"
"VALENCA","SB","-13.296461:-38.992428"
"FAZENDA ALVORADA","SB","-10.391992:-48.679250"
"FAZENDA ARATAU","SB","-4.151311:-50.163311"
"FAZENDA BELA VISTA","SB","-6.870939:-48.534911"
"BALBINA","SB","-1.924811:-59.412342"
"FAZENDA SAN MARINO","SB","-20.102222:-52.443889"
"ITAPICURU","SB","-4.513294:-44.020172"
"EDMAR FERREIRA","SB","-18.257472:-48.908047"
"CACOAL","SB","-11.432844:-61.477700"
"XAPURI","SB","-10.663872:-68.485758"
"FAZENDA PONTAL","SB","-13.564764:-38.940039"
"FAZENDA SANTA MONICA","SB","-15.997942:-43.738544"
"DIAMANTINO","SB","-14.376861:-56.400386"
"FAZENDA TAPIJARA","SB","-23.220025:-49.075917"
"TANGARA DA SERRA","SB","-14.662044:-57.443544"
"SOUTO SOARES","SB","-12.097308:-41.640653"
"FAZENDA RIO ALEGRE","SB","-13.274247:-56.892250"
"SAO PEDRO DA ALDEIA","SBES","-22.812872:-42.092633"
"MUCUGE","SB","-13.031186:-41.444069"
"ARAPIRACA","SB","-9.775358:-36.629200"
"FAZENDA GUAPORE I","SB","-15.006733:-60.220731"
"FAZENDA SAO FRANCISCO","SB","-15.224092:-60.217222"
"FAZENDA PAIAGUAS","SB","-14.072303:-57.450725"
"FAZENDA TUCUNARE","SB","-13.465589:-58.866608"
"REMANSO","SB","-9.579444:-42.115653"
"PORANGATU","SB","-13.404806:-49.158278"
"ARUANA","SB","-14.932506:-51.048106"
"PIRITIBA","SB","-11.738103:-40.569531"
"UTINGA","SB","-12.105533:-41.074464"
"GENTIO DE OURO","SB","-11.441678:-42.518150"
"CEARA MIRIM","SB","-5.661206:-35.413858"
"FAZENDA SANTA MONICA","SB","-15.935250:-48.646589"
"RONDONOPOLIS","SB","-16.585967:-54.724792"
"FAZENDA SIMARELLI","SB","-13.606783:-59.316778"
"JUNDIAI","SB","-23.181697:-46.943472"
"FAZENDA ITAIPU","SB","-13.764506:-56.955558"
"CONCEICAO DO MATO DENTRO","SB","-19.020278:-43.433889"
"FAZENDA INDIARA","SB","-13.314939:-49.774908"
"URUACU","SB","-14.545206:-49.091056"
"SURUCUCU","SB","2.835283:-63.646964"
"CARAZINHO","SB","-28.322486:-52.816194"
"AMARGOSA","SB","-12.993644:-39.639922"
"MOZARLANDIA","SB","-14.770364:-50.564072"
"CARINHANHA","SB","-14.298472:-43.797267"
"FORMOSA","SB","-15.555083:-47.345694"
"URUCARA","SB","-2.528889:-57.755822"
"NIQUELANDIA","SB","-14.434869:-48.491525"
"IBOTIRAMA","SB","-12.168611:-43.222094"
"CRISTALINA","SB","-16.790992:-47.645233"
"FAZENDA DOS CASTANHAIS","SB","-6.774872:-49.361294"
"REGIONAL DE MARINGA SILVIO NAME JUNIOR","SBMG","-23.476392:-52.016406"
"PIRENOPOLIS CENTERAL","SB","-15.848889:-48.982589"
"CANAVIEIRAS","SB","-15.667028:-38.954667"
"CACULE","SB","-14.481178:-42.264700"
"POCOES","SB","-14.522578:-40.345042"
"MACAUBAS","SB","-13.025019:-42.672258"
"CASTRO ALVES","SB","-12.765717:-39.446744"
"HOTEL TRANSAMERICA","SBTC","-15.355244:-38.999011"
"BAHIA AEROCLUBE","SB","-13.024739:-38.665836"
"HERBERT MATA PIRES","SB","-12.402464:-40.474656"
"LINHARES","SB","-19.355228:-40.069472"
"FAZENDA SAO RAFAEL","SB","-24.769514:-54.118742"
"TEIXEIRA DE FREITAS","SB","-17.524500:-39.668500"
"PIRAPORA","SB","-17.316944:-44.860278"
"CALDAS NOVAS","SB","-17.725250:-48.607492"
"PATROCINIO","SB","-18.909439:-46.982742"
"PARACATU","SB","-17.242572:-46.883064"
"MORRINHOS","SB","-17.761497:-49.122147"
"PARA DE MINAS","SB","-19.842611:-44.601167"
"UNAI","SB","-16.356475:-46.927714"
"SENADORA EUNICE MICHILES","SB","-3.465450:-68.918953"
"FAZENDA DO CANTAGALO","SB","-15.395917:-44.145169"
"CAPINOPOLIS AVIAC AGRI BUTTARELLO LTDA","SB","-18.659244:-49.547558"
"FAZENDA ROMARIA","SB","-18.870556:-47.559444"
"FAZENDA TROPICAL","SB","-12.886111:-61.298333"
"FAZENDA SAO SEBASTIAO","SB","-12.736336:-61.110247"
"ABARE","SB","-8.736994:-39.115389"
"FORMOSA DO RIO PRETO","SB","-11.021586:-45.186678"
"FAZENDA BURITI","SB","-12.302461:-45.513922"
"BRIGADEIRO LYSIAS RODRIGUES","SBPJ","-10.291525:-48.356972"
"PARANAIBA","SB","-19.651167:-51.199361"
"BENEDITO MUTRAN","SB","-5.758569:-49.176153"
"CAMAPUA","SB","-19.598442:-54.021142"
"FAZENDA N S DE FATIMA","SB","-13.984469:-59.658386"
"IGARAPE BAHIA","SB","-6.047778:-50.579722"
"COSTA RICA","SB","-18.491256:-53.167919"
"LUIS EDUARDO MAGALHAES","SB","-12.106708:-45.894633"
"FAZENDA TORRAO DE OURO","SB","-18.180700:-54.501775"
"FAZENDA CONGONHAS","SB","-19.662583:-50.951306"
"EMBRAER UNIDADE GAVIAO PEIXOTO","SBGP","-21.773683:-48.405078"
"FAZENDA VILLA TEREZINHA","SB","-17.405508:-43.940364"
"BERTIN LTDA","SB","-18.935303:-49.472717"
"PORTO MURTINHO","SB","-21.709558:-57.880194"
"BELA VISTA","SB","-22.081636:-56.538589"
"FERNANDOPOLIS","SB","-20.276628:-50.215583"
"JALES","SB","-20.293031:-50.546419"
"PRESIDENTE PRUDENTE","SBDN","-22.175056:-51.424639"
"NAVIRAI","SB","-23.034775:-54.180225"
"FAZENDA SAO JOAQUIM OB","SB","-20.828397:-51.007978"
"COMPANHIA AGRICOLA DE QUATA","SB","-22.286111:-50.638861"
"FAZENDA JATOBA","SB","-23.923789:-55.301856"
"FAZENDA NOVA CALIFORNIA","SB","-22.466692:-51.200842"
"FAZENDA SANTA ILIDIA","SB","-22.324333:-53.095003"
"ANDIRA","SB","-23.027342:-50.227533"
"CANDOTE","SB","-20.839236:-52.301583"
"FAZENDA MENINA","SB","-20.640492:-51.476897"
"FAZENDA BONANCA","SB","-20.676361:-51.030750"
"FAZENDA FLORESTA NEGRA","SB","-23.814061:-54.698819"
"ITAPEVA","SB","-23.941383:-48.881769"
"AEROPORTO ESTADUAL ARTHUR SIQUEIRA","SB","-22.978844:-46.537128"
"CAMPO BELO","SB","-20.892317:-45.335139"
"FRUTAL","SB","-20.002778:-48.958383"
"GUAXUPE","SB","-21.326428:-46.731175"
"FAZENDA ITAQUERE","SB","-21.654628:-48.266317"
"TATUI","SB","-23.331889:-47.878333"
"VERA CRUZ","SB","-22.230156:-49.817242"
"AMERICANA","SB","-22.755786:-47.269442"
"ARARAS","SB","-22.339122:-47.359267"
"SESC PANTANAL","SB","-16.497394:-56.422183"
"IBITINGA","SB","-21.747278:-48.855694"
"FAZENDA BANANEIRA","SB","-20.580000:-49.079722"
"SAO SEBASTIAO DO PARAISO","SB","-20.948219:-46.983169"
"FAZENDA SANTA HELENA","SB","-22.890439:-45.493269"
"IGUATU","SB","-6.346639:-39.293777"
"ITAPORANGA","SB","-7.311661:-38.112692"
"RACHID SALIBA","SB","-21.039444:-45.872222"
"FAZENDA NOVA FRONTEIRA","SB","-11.467833:-56.437603"
"FAZENDA CANADA","SB","-15.024333:-44.039056"
"USINA SAO MARTINHO","SB","-21.339772:-48.114919"
"BASE DE AVIACAO DE TAUBATE","SBTA","-23.040133:-45.516011"
"DR AUGUSTO DE A BOTELHO","SB","-22.195164:-47.862411"
"PONTE NOVA","SB","-20.403328:-42.916533"
"ITAPERUNA","SB","-21.219267:-41.875922"
"PARAMIRIM","SB","-13.490411:-42.229092"
"MARICA","SB","-22.919450:-42.830931"
"CRISTIANO FERREIRA VARELLA","SB","-21.126056:-42.394389"
"AEROCLUBE NOVA IGUACU","SB","-22.745336:-43.460308"
"JOAO MONTEIRO","SB","-20.422850:-40.332622"
"HELMUTH BAUNGARTEM","SB","-27.160017:-49.542497"
"CACADOR","SBCD","-26.788417:-50.939806"
"NELSON PIZZANI","SB","-27.212736:-50.956528"
"HORIZONTINA","SB","-27.638311:-54.339075"
"ESTANCIA HERCULES","SB","-25.460706:-54.598786"
"CACHOEIRA DO SUL","SB","-30.001867:-52.940836"
"IJUI","SB","-28.368656:-53.846569"
"FAZENDA PEDRA BRANCA","SB","-22.903433:-44.288967"
"CHAFEI AMSEI","SBBT","-20.584547:-48.594086"
"SAO VICENTE","SB","-14.520339:-59.779878"
"PALMEIRAS DE GOIAS","SB","-16.826919:-49.878936"
"FAZENDA SAO JOSE DO PARNAIBA","SB","-18.387250:-48.861500"
"FAZENDA MAMONEIRA","SB","-16.586200:-46.501056"
"FAZENDA SANTO ANTONIO 4","SB","-21.275686:-51.283156"
"FAZENDA SANTO ANTONIO","SB","-16.716153:-46.521247"
"FAZENDA SANTOS REIS","SB","-17.547903:-46.978681"
"FAZENDA DOS TRES RIOS","SB","-16.944994:-46.273800"
"JATAPU","SB","-1.712053:-58.511169"
"PARAISO DO TOCANTINS","SB","-10.174203:-48.932833"
"PONTEZINHA","SB","-15.260056:-46.762389"
"AUREA","SB","-19.287419:-46.511739"
"SALINAS","SB","-16.208250:-42.321964"
"FAZENDA CANADA","SB","-17.361608:-50.338842"
"FAZENDA SANTA ROSA","SB","-7.036667:-50.088889"
"FAZENDA REBECA","SB","-12.682692:-43.871492"
"SANTA MAGALHAES","SB","-8.062397:-38.328786"
"ESTANCIA DAS CASCATAS","SB","-15.896733:-52.095564"
"INDEPENDENCIA","SB","-22.279225:-53.383542"
"JANAUBA","SB","-15.732000:-43.323083"
"FAZENDA VARJAO GRANDE","SB","-18.491528:-51.298764"
"CONDOMINIO FLY IN COMMUNITY","SB","-16.446178:-54.664211"
"FAZENDA CONFORTO","SB","-14.065783:-50.415939"
"ILHA DO CARACARA","SB","-17.458611:-56.840556"
"FAZENDA ANHANGUERA","SB","-14.642519:-59.449136"
"ITAPESSOCA","SB","-7.656011:-34.856508"
"FAZENDA BAUNILHA","SB","-23.560278:-54.033889"
"CAIMA","SB","-4.303592:-56.218069"
"FAZENDA AGUA PRETA","SB","-14.138056:-51.466389"
"FAZENDA JOPEJO","SB","-15.000000:-55.825000"
"MORRO DO CHAPEU II","SB","-14.958261:-55.800667"
"BAMBUI","SB","-20.036428:-45.972306"
"VAL DE CANS INTL","SBBE","-1.379250:-48.476292"
"LAVRAS","SB","-21.240561:-44.963939"
"FAZENDA VITORIA","SB","-18.752778:-51.473056"
"ARAGUACEMA","SB","-8.837722:-49.557542"
"QUIRINOPOLIS","SB","-18.446111:-50.409167"
"FAZENDA F5","SB","-18.364167:-48.871944"
"JOAO SILVA","SB","-3.654278:-45.345183"
"FAZENDA JAO","SB","-14.769361:-51.985811"
"CALCARIO VALE DO ARAGUAIA","SB","-14.190297:-51.643864"
"PRIMO BITTI","SB","-19.826389:-40.100833"
"FAZENDA SAGRADO CORACAO DE JESUS","SB","-15.089942:-60.116492"
"BONITO","SB","-21.247278:-56.452456"
"PRAINHA","SB","-7.172872:-59.839578"
"FRIGOESTRELA","SB","-20.294689:-50.410536"
"FAZENDA ENCANTADO DAS AGUAS","SB","-22.607906:-48.387931"
"COMANDANTE VITTORIO BONAMI","SB","-21.530381:-47.046481"
"FAZENDA SERRA AZUL","SB","-11.935456:-40.050675"
"FAZENDA CAMPO ABERTO","SB","-11.788333:-45.964722"
"VERACEL","SB","-16.871111:-39.363889"
"TERRAVISTA","SB","-16.540833:-39.107778"
"REGIONAL DO CARIRI","SBJU","-7.218958:-39.270100"
"SITIO POUSO DO AVIADOR","SB","-20.488522:-54.482856"
"JOAO DURVAL CARNEIRO","SB","-12.200278:-38.906806"
"PIRACICABA","SB","-22.711542:-47.618186"
"ARAGARCAS","SB","-15.899367:-52.241117"
"CAMPO NOVO","SB","-27.667169:-53.808994"
"URUBUPUNGA","SBUP","-20.777067:-51.564761"
"ILHEUS","SBIL","-14.815964:-39.033197"
"GUANAMBI","SB","-14.208167:-42.746083"
"SANTO ANGELO","SBNM","-28.281683:-54.169139"
"ARARAQUARA","SBAQ","-21.812000:-48.133028"
"TOLEDO","SBTD","-24.686342:-53.697492"
"ORIXIMINA","SB","-1.714083:-55.836222"
"BROTAS DE MACAUBAS","SB","-11.999394:-42.634889"
"FRANCA","SB","-20.592214:-47.382925"
"PREFEITO DOUTOR JOAO SILVA FILHO","SBPB","-2.893747:-41.731961"
"UMBERTO MODIANO","SBBZ","-22.770972:-41.962861"
"SAO MATEUS","SB","-18.721342:-39.833747"
"SANTA ISABEL DO MORRO","SB","-11.572289:-50.666192"
"MARECHAL CANDIDO RONDON","SB","-24.512672:-54.054669"
"JI PARANA","SB","-10.870803:-61.846469"
"SAO JOSE DO RIO PRETO","SBSR","-20.816567:-49.406511"
"BACACHERI","SBBI","-25.405078:-49.232036"
"PORTO NACIONAL","SBPN","-10.719417:-48.399736"
"LAGES","SBLJ","-27.782142:-50.281486"
"FAZENDA PANORAMA","SB","-22.038992:-56.269422"
"SIQUEIRA CAMPOS","SB","-23.674528:-49.815442"
"GUARARAPES GILBERTO FREYRE INTL","SBRF","-8.126486:-34.923592"
"CURVELO","SB","-18.749417:-44.457028"
"MARTE","SBMT","-23.509119:-46.637753"
"ITAU DE MINAS","SB","-20.755278:-46.750164"
"MONTE DOURADO","SBMD","-0.889839:-52.602250"
"COARI","SB","-4.134056:-63.132556"
"ARAPONGAS","SB","-23.352856:-51.491656"
"TEN CEL AV CESAR BOMBONATO","SBUL","-18.882844:-48.225594"
